"Context","Source"
"LinkSettings","Disabled"
"LinkSettings","UDP Port"
"LinkSettings","Serial <none available>"
"LinkSettings","Baudrate"
"LinkSettings","NMEA stream UDP port"
"LinkSettings","Links"
"LinkSettings","Delete Link"
"LinkSettings","Are you sure you want to delete '%1'?"
"LinkSettings","Add New Link"
"LinkSettings","Edit Link"
"LinkSettings","Name"
"LinkSettings","Enter name"
"LinkSettings","Type"
"LinkSettings","Ground Station Connection"
"LinkSettings","Ground Station Name"
"LinkSettings","Server Address"
"LinkSettings","Server Port"
"LinkSettings","Manually create connection after change"
"LinkSettings","Confirm"
"LogDownloadPage","Log Download"
"LogDownloadPage","You must select at least one log file to download."
"LogReplayConfiguration","Log Replay Link Settings"
"LogReplayLink","Log Replay Link Error"
"LogReplayLink","Link: %1, %2."
"LogReplaySettings","Log File"
"LogReplaySettings","Select Telemetery Log"
"LogReplaySettings","Telemetry Logs (*.%1)"
"LogReplaySettings","All Files (*)"
"LogReplayStatusBar","Close"
"LogReplayWorker","You must close all connections prior to replaying a log."
"LogReplayWorker","Connect not allowed during Flight Data replay."
"LogReplayWorker","Unable to seek to new position"
"LogReplayWorker","Attempt to load new log while log being played"
"LogReplayWorker","Unable to open log file: '%1', error: %2"
"LogReplayWorker","The log file '%1' is corrupt or empty."
"MAVLink SYS_STATUS_SENSOR value","Gyro"
"MAVLink SYS_STATUS_SENSOR value","Accelerometer"
"MAVLink SYS_STATUS_SENSOR value","Magnetometer"
"MAVLink SYS_STATUS_SENSOR value","Absolute pressure"
"MAVLink SYS_STATUS_SENSOR value","Differential pressure"
"MAVLink SYS_STATUS_SENSOR value","GPS"
"MAVLink SYS_STATUS_SENSOR value","Optical flow"
"MAVLink SYS_STATUS_SENSOR value","Computer vision position"
"MAVLink SYS_STATUS_SENSOR value","Laser based position"
"MAVLink SYS_STATUS_SENSOR value","External ground truth"
"MAVLink SYS_STATUS_SENSOR value","Angular rate control"
"MAVLink SYS_STATUS_SENSOR value","Attitude stabilization"
"MAVLink SYS_STATUS_SENSOR value","Yaw position"
"MAVLink SYS_STATUS_SENSOR value","Z/altitude control"
"MAVLink SYS_STATUS_SENSOR value","X/Y position control"
"MAVLink SYS_STATUS_SENSOR value","Motor outputs / control"
"MAVLink SYS_STATUS_SENSOR value","RC receiver"
"MAVLink SYS_STATUS_SENSOR value","Gyro 2"
"MAVLink SYS_STATUS_SENSOR value","Accelerometer 2"
"MAVLink SYS_STATUS_SENSOR value","Magnetometer 2"
"MAVLink SYS_STATUS_SENSOR value","GeoFence"
"MAVLink SYS_STATUS_SENSOR value","AHRS"
"MAVLink SYS_STATUS_SENSOR value","Terrain"
"MAVLink SYS_STATUS_SENSOR value","Motors reversed"
"MAVLink SYS_STATUS_SENSOR value","Logging"
"MAVLink SYS_STATUS_SENSOR value","Battery"
"MAVLink SYS_STATUS_SENSOR value","Proximity"
"MAVLink SYS_STATUS_SENSOR value","Satellite Communication"
"MAVLink SYS_STATUS_SENSOR value","Pre-Arm Check"
"MAVLink SYS_STATUS_SENSOR value","Avoidance/collision prevention"
"MAVLink SYS_STATUS_SENSOR value","Propulsion"
"MAVLink unknown SYS_STATUS_SENSOR value","Unknown sensor"
"MAVLinkConsolePage","Provides a connection to the vehicle's system shell."
"MAVLinkConsolePage","Enter Commands here..."
"MAVLinkConsolePage","Send"
"MAVLinkInspectorController","System %1"
"MAVLinkInspectorPage","Actual Rate:"
